route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX1,KB_B4-Weekday,KB_B4-Weekday-083600_BX1_115,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377722,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-091100_BX2_225,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377753,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-099800_BX2_219,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377750,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-030900_BX1_105,MOTT HAVEN 138 ST via CONCOURSE,1,35377706,BX010104
BX2,KB_B4-Weekday,KB_B4-Weekday-037500_BX1_105,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377706,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-044700_BX1_123,MOTT HAVEN 138 ST via CONCOURSE,1,35377725,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-052300_BX1_124,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377726,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-061200_BX1_124,MOTT HAVEN 138 ST via CONCOURSE,1,35377726,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-070000_BX1_102,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377726,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-078200_BX2_217,MOTT HAVEN 138 ST via CONCOURSE,1,35377725,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-087500_BX1_117,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377727,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-097100_BX2_230,MOTT HAVEN 138 ST via CONCOURSE,1,35377754,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-106600_BX1_140,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377707,BX010106
BX2,KB_B4-Weekday,KB_B4-Weekday-032100_BX2_202,MOTT HAVEN 138 ST via CONCOURSE,1,35377737,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-039100_BX2_202,RIVERDALE 231 ST via CONCOURSE,0,35377737,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-047300_BX1_126,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377748,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-054800_BX1_125,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377727,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-063500_BX2_215,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377707,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-070900_BX2_213,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377747,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-079900_BX2_212,MOTT HAVEN 138 ST via CONCOURSE,1,35377747,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-089200_BX2_220,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377749,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-099500_BX1_141,MOTT HAVEN 138 ST via CONCOURSE,1,35377749,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-108800_BX1_141,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377749,BX020123
BX1,KB_B4-Weekday,KB_B4-Weekday-032200_BX1_106,MOTT HAVEN 138 ST via CONCOURSE,1,35377707,BX010104
BX2,KB_B4-Weekday,KB_B4-Weekday-039300_BX1_106,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377707,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-046800_BX1_106,MOTT HAVEN 138 ST via CONCOURSE,1,35377707,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-055000_BX1_126,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377748,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-063800_BX2_220,MOTT HAVEN 138 ST via CONCOURSE,1,35377749,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-072700_BX1_132,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377728,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-081200_BX1_132,MOTT HAVEN 138 ST via CONCOURSE,1,35377728,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-091400_BX1_136,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377729,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-098900_BX1_123,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377728,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-108000_BX2_215,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377737,BX020123
BX1,KB_B4-Weekday,KB_B4-Weekday-034700_BX1_109,MOTT HAVEN 138 ST via CONCOURSE,1,35377710,BX010104
BX2,KB_B4-Weekday,KB_B4-Weekday-041200_BX1_109,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377710,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-049400_BX2_203,MOTT HAVEN 138 ST via CONCOURSE,1,35377738,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-057800_BX1_110,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377711,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-066300_BX1_130,MOTT HAVEN 138 ST via CONCOURSE,1,35377709,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-075300_BX1_113,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377738,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-083800_BX2_210,MOTT HAVEN 138 ST via CONCOURSE,1,35377751,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-093400_BX2_210,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377751,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-103300_BX2_210,MOTT HAVEN 138 ST via CONCOURSE,1,35377751,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-112400_BX1_129,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377714,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-120100_BX1_137,MOTT HAVEN 138 ST via CONCOURSE,1,35377714,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-129600_BX1_137,RIVERDALE 231 ST via CONCOURSE,0,35377714,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-135800_BX1_140,MOTT HAVEN 138 ST via CONCOURSE,1,35377730,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-143500_BX1_140,RIVERDALE 231 ST via CONCOURSE,0,35377730,BX010109
BX2,KB_B4-Weekday,KB_B4-Weekday-035900_BX1_111,MOTT HAVEN 138 ST via CONCOURSE,1,35377712,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-041900_BX2_203,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377738,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-050300_BX2_204,MOTT HAVEN 138 ST via CONCOURSE,1,35377739,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-058800_BX1_111,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377712,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-067200_BX1_110,MOTT HAVEN 138 ST via CONCOURSE,1,35377711,BX020113
